gap_between_6star,LimitedBanner(6+0),SpecialBanner(6),SpecialBanner(1),LimitedBanner(1+0),StandardBanner(1+0)
33,559,476,61,70,16
25,397,334,123,25,46
6,478,451,58,160,59
9,390,367,13,147,53
8,914,213,57,7,10
25,308,254,29,86,147
43,762,540,154,7,54
63,709,291,5,142,65
46,433,177,69,79,28
14,465,337,177,102,27
30,464,259,58,49,57
42,248,424,5,2,73
13,455,388,37,278,18
37,427,330,61,114,275
56,607,420,155,137,37
34,537,497,20,76,1
8,900,435,54,82,46
28,664,321,154,63,89
27,391,248,120,180,174
43,526,549,46,72,77
18,309,491,24,10,23
36,528,349,63,205,127
32,712,359,122,194,61
11,662,240,2,234,57
29,873,289,12,41,77
23,568,272,62,107,55
2,905,472,95,181,84
26,669,424,20,115,11
51,456,330,155,61,98
7,618,171,54,87,9
14,654,461,12,85,110
26,628,435,74,2,119
2,715,389,58,168,35
8,309,809,129,60,25
45,820,241,78,58,322
31,704,513,109,114,70
4,322,267,10,58,13
5,780,559,100,69,79
30,623,380,53,195,38
61,844,466,60,17,107
59,1029,316,164,58,115
45,563,531,99,173,13
14,751,449,73,14,60
34,784,282,15,157,108
2,519,392,123,95,77
58,558,329,116,122,1
54,562,288,111,284,83
59,460,497,153,182,134
7,433,434,34,452,64
23,825,445,173,29,175
6,634,476,57,166,56
30,210,182,15,135,59
37,355,493,127,166,112
65,593,432,53,69,153
14,1132,385,90,194,92
27,580,272,24,4,68
51,655,291,22,103,37
14,556,450,24,198,24
44,706,278,68,44,70
44,328,255,53,30,31
13,429,222,28,34,44
47,557,464,62,23,154
26,483,232,114,166,17
12,374,483,20,14,40
54,358,354,49,54,46
45,314,298,23,181,36
30,730,581,55,179,167
23,512,705,92,61,2
36,324,477,140,104,52
61,781,439,7,114,37
61,844,393,92,61,65
58,651,400,51,50,73
62,550,589,31,15,1
37,635,358,1,16,8
19,591,519,63,43,81
11,695,710,48,64,23
57,503,347,68,77,2
54,470,671,61,432,62
28,781,594,9,57,103
11,656,405,60,60,119
51,696,447,29,70,53
56,609,252,112,77,13
14,526,292,4,58,31
1,657,629,121,95,58
7,597,399,57,7,118
5,425,431,3,77,127
21,393,436,65,117,86
61,554,623,113,69,37
70,777,467,65,168,47
40,425,317,39,89,206
59,470,488,72,201,11
9,962,424,22,144,200
12,1180,428,82,59,130
17,399,548,13,62,5
5,420,580,18,84,71
54,417,444,60,217,125
57,513,225,21,85,18
10,450,325,84,121,50
11,536,209,34,82,59
60,285,228,18,85,53
24,650,214,50,298,53
25,823,404,63,53,57
14,1038,532,29,58,96
54,810,514,151,172,74
57,607,574,59,212,74
2,629,266,23,50,22
54,470,412,42,84,151
11,891,632,41,47,3
44,264,554,84,49,157
2,798,483,68,74,99
56,639,373,7,3,14
16,601,570,114,120,3
45,746,217,96,391,7
55,507,652,124,57,30
62,428,395,152,123,54
25,326,447,55,88,255
58,229,768,75,339,15
52,496,362,58,100,114
6,343,281,61,138,10
57,532,403,55,206,65
37,860,496,67,300,59
46,603,473,15,215,63
17,672,396,166,57,95
55,429,395,61,74,16
5,341,259,60,1,10
15,565,264,127,284,36
55,596,488,65,89,62
30,371,279,149,127,94
33,556,268,60,10,128
58,464,477,167,16,58
55,363,524,2,91,181
31,338,250,68,51,46
56,412,666,53,182,65
58,237,511,55,89,159
6,359,513,103,89,7
55,352,435,82,124,62
54,471,360,99,23,45
1,214,423,86,92,239
27,472,262,4,141,87
52,529,411,45,20,59
59,616,624,7,128,16
24,859,496,51,8,224
33,368,531,50,90,30
16,630,507,20,62,37
8,473,382,132,13,59
57,825,214,32,64,46
7,199,411,48,183,130
4,537,228,156,6,151
48,502,357,187,26,84
59,464,362,54,56,111
20,424,258,28,94,87
63,736,437,14,105,104
56,407,320,44,65,62
30,582,362,55,116,15
6,690,355,73,108,74
3,381,512,46,348,28
1,496,400,29,78,6
31,658,364,15,2,25
22,439,826,60,250,133
55,661,334,59,137,56
26,774,412,151,54,5
30,514,425,100,108,61
61,642,350,32,41,57
15,625,366,11,191,9
52,334,558,141,30,99
56,660,360,19,89,42
6,604,386,77,205,5
26,372,384,143,15,26
12,661,326,63,42,139
57,584,484,4,37,1
25,546,380,6,73,14
25,947,519,113,64,89
57,509,435,5,28,50
59,572,436,100,13,80
62,501,321,17,81,38
34,510,338,177,146,56
37,349,360,161,56,64
25,1345,259,91,170,123
5,1161,441,9,72,95
30,764,287,55,85,80
34,625,591,8,108,90
34,449,588,35,297,52
48,343,565,2,11,38
37,539,411,187,32,50
43,244,216,125,171,61
31,527,652,18,78,63
52,522,231,55,37,52
61,715,338,156,59,3
57,486,435,195,123,37
60,469,333,87,10,85
28,425,312,16,115,49
66,305,408,120,76,75
49,224,482,25,55,198
55,700,362,6,104,48
57,615,644,40,53,175
2,422,362,70,44,9
57,643,377,122,30,8
7,430,362,11,148,206
51,493,387,101,112,32
5,570,288,54,7,129
52,654,283,59,161,155
56,794,277,10,104,21
51,362,486,122,131,55
60,502,201,34,198,34
56,223,396,54,14,1
23,402,369,16,44,9
57,544,296,77,64,39
2,551,633,51,133,158
31,424,260,56,10,33
37,434,230,18,119,35
40,647,436,94,99,17
57,535,555,47,54,45
9,330,389,52,26,61
16,465,542,131,51,24
55,259,367,16,151,36
43,416,406,46,14,119
48,360,357,59,60,8
64,629,294,53,64,100
60,1108,293,10,23,59
52,640,462,147,126,30
26,478,539,54,105,58
50,498,407,65,127,3
54,615,451,28,161,20
3,537,381,27,80,11
38,641,539,57,150,192
13,1031,466,73,181,57
12,414,569,18,351,13
37,556,268,170,86,11
61,622,367,65,218,85
45,1043,302,41,107,26
13,481,368,37,195,116
28,684,465,1,399,222
55,659,430,46,48,57
7,523,500,89,52,58
57,417,342,158,123,23
23,799,369,17,56,54
51,331,412,77,2,66
55,388,530,23,65,53
15,595,400,127,187,50
33,484,481,61,32,337
37,570,396,57,106,3
24,698,389,77,63,38
26,507,274,55,67,57
55,311,454,84,57,9
3,707,355,11,491,114
24,277,336,98,58,15
46,418,380,9,5,35
60,661,471,110,44,11
63,484,452,119,43,67
1,485,573,35,127,84
55,1149,275,25,60,16
58,861,515,173,50,54
23,742,327,150,163,113
61,548,360,70,19,31
38,780,333,13,59,312
41,607,476,79,67,35
60,382,488,38,122,37
10,299,439,107,50,66
61,676,345,115,147,1
61,751,355,13,61,65
54,485,235,60,38,70
23,613,353,108,20,105
10,363,462,77,475,22
54,727,528,1,66,54
53,730,281,83,60,174
62,544,520,134,9,80
53,677,481,64,64,56
61,1024,333,175,12,14
56,738,498,57,255,61
54,525,358,59,103,102
10,396,317,112,136,151
16,385,346,153,131,61
47,731,449,1,19,82
11,642,592,91,134,54
56,624,316,68,66,11
12,1017,495,37,24,104
32,407,243,24,97,43
36,1001,419,70,4,15
45,444,302,31,55,62
20,239,397,44,557,18
57,453,428,154,95,65
7,718,613,18,44,63
54,712,286,40,60,6
44,356,292,46,128,57
9,472,387,36,25,67
8,526,709,167,140,139
42,317,414,3,26,71
14,483,420,52,95,54
39,671,304,37,92,123
34,838,134,65,72,24
5,978,549,73,14,21
55,805,321,1,42,63
2,444,608,8,7,10
15,277,525,81,114,69
10,559,444,23,129,94
54,759,273,2,26,26
12,533,501,62,43,89
12,463,348,103,42,65
12,630,365,119,61,14
2,497,346,53,32,11
41,260,313,13,56,120
30,381,465,31,197,126
57,255,350,58,56,102
61,705,610,118,5,93
56,830,495,127,131,16
18,368,338,86,41,13
22,833,589,37,99,16
54,1221,298,47,58,164
11,655,385,154,176,87
11,565,445,53,86,39
60,452,482,11,81,43
47,530,296,175,51,45
28,530,268,26,69,26
60,598,250,130,5,148
59,443,362,5,100,64
10,792,361,71,314,80
6,1034,539,125,76,112
30,674,200,18,6,6
5,914,443,50,23,119
12,900,528,59,161,59
15,599,236,53,557,82
16,504,230,53,52,6
35,404,314,57,54,113
62,402,285,96,7,94
55,650,600,74,202,45
26,363,374,74,36,94
26,601,391,22,93,54
58,946,495,151,54,29
60,1431,373,4,97,32
8,662,234,157,53,19
18,596,699,100,28,173
53,500,435,14,41,181
59,532,346,3,86,5
59,718,487,7,60,22
5,335,550,30,117,55
4,523,412,54,159,84
14,322,284,173,13,56
11,421,889,83,156,209
53,831,425,15,23,153
67,556,524,114,7,6
5,654,232,10,57,16
60,362,419,65,54,68
18,828,436,59,36,53
23,461,367,63,32,33
34,976,457,95,63,11
27,561,260,16,160,94
60,546,464,10,13,114
36,595,208,36,199,217
66,553,294,62,124,2
25,475,388,94,72,51
18,812,513,128,55,123
55,689,729,58,28,57
8,466,430,181,63,183
74,300,669,47,39,125
10,848,553,65,82,62
61,462,260,159,36,115
28,342,562,8,20,14
4,631,354,62,14,20
13,740,236,45,287,31
61,874,448,157,49,15
5,515,500,83,5,230
60,597,435,87,2,129
6,883,443,59,61,18
60,678,304,16,196,77
15,791,332,162,80,33
26,166,372,63,147,17
52,572,408,30,133,54
67,566,203,37,55,151
5,580,497,59,177,102
67,407,565,46,53,53
25,740,354,130,37,84
25,476,178,151,49,46
2,308,230,85,56,11
60,666,379,111,44,58
12,1180,315,87,54,32
20,805,398,104,121,96
1,859,302,62,47,66
20,419,448,15,57,133
55,584,301,74,62,79
45,669,494,28,59,26
60,719,607,6,257,92
65,836,331,25,112,39
24,617,345,133,61,85
3,1284,232,56,54,46
55,805,377,5,54,12
4,774,495,61,139,188
40,1073,274,57,77,48
17,288,279,9,41,114
62,626,430,99,106,35
65,736,328,42,58,21
63,232,543,5,128,8
60,623,353,26,57,12
29,364,511,139,58,99
55,502,369,1,13,62
11,798,605,14,35,37
10,481,334,89,9,111
31,247,228,50,137,221
40,242,410,80,68,76
64,459,398,38,28,54
19,408,369,56,48,35
17,333,570,64,21,3
27,558,358,123,57,29
16,501,307,95,93,92
2,492,461,80,59,7
3,323,358,90,14,7
61,285,522,52,65,100
36,294,717,38,178,112
26,524,600,50,53,65
24,1025,350,61,287,277
36,627,364,63,96,57
24,403,185,52,178,25
32,708,401,3,232,5
59,385,362,37,144,149
5,788,438,85,58,19
58,1188,327,49,38,56
33,412,412,75,328,3
17,571,270,153,178,90
31,330,483,46,5,4
30,391,320,48,303,44
37,251,689,151,81,19
19,507,467,25,430,332
28,686,276,9,76,35
51,350,437,8,16,3
43,519,558,152,61,63
19,227,646,55,29,40
46,786,350,32,23,85
18,373,496,129,50,64
9,403,343,155,58,12
58,953,513,22,50,1
56,595,278,55,207,27
39,269,389,34,76,78
28,584,354,1,158,51
63,595,414,9,56,63
6,867,218,39,19,68
35,457,346,150,35,63
17,410,202,9,124,67
27,456,404,33,41,7
9,598,468,35,98,79
21,860,327,17,274,59
5,445,290,45,117,95
36,593,353,61,76,54
15,335,282,24,130,10
7,544,409,36,56,14
23,821,571,119,328,54
3,265,407,8,90,71
53,449,449,100,47,61
3,443,430,59,59,10
3,887,291,30,590,60
46,394,312,58,425,105
10,506,223,3,345,16
1,1008,437,20,441,134
58,1938,255,11,66,123
2,318,361,155,30,61
59,266,292,38,54,2
63,626,224,57,205,57
54,504,388,13,137,138
8,431,214,11,125,188
48,454,465,85,144,11
55,1086,283,26,15,102
54,669,344,116,66,51
2,376,340,166,55,85
1,475,308,57,159,5
31,906,374,57,231,91
8,495,396,58,31,191
64,647,389,23,60,63
39,744,625,54,284,79
64,455,566,66,103,64
60,316,500,53,79,18
46,399,287,50,83,62
27,838,248,157,159,61
64,889,321,181,59,89
64,1130,459,3,177,91
2,233,302,38,23,20
43,508,333,57,8,64
62,452,261,9,96,76
56,466,351,114,126,56
11,721,646,15,199,94
41,554,465,35,14,18
54,444,377,11,70,59
15,307,563,67,53,56
66,881,328,84,59,31
9,709,310,16,175,104
34,517,564,54,12,58
4,288,507,113,442,132
10,676,303,31,57,97
13,451,376,165,51,21
41,502,757,148,17,167
16,412,451,34,49,40
36,554,398,37,61,118
45,650,312,66,59,92
41,648,376,1,17,75
4,344,486,65,55,6
63,1096,335,70,104,76
18,978,293,105,149,72
54,604,373,22,66,124
32,228,813,54,60,154
58,1012,380,174,94,62
36,531,331,81,14,61
69,472,578,56,161,77
9,808,484,14,44,3
12,372,409,61,33,97
36,720,650,102,37,51
59,560,376,151,73,93
16,1017,402,62,6,6
58,887,411,82,16,62
62,355,398,54,55,173
27,749,361,11,113,154
18,488,177,104,65,38
1,299,420,43,1,58
7,563,209,15,118,54
8,480,460,62,31,91
60,353,458,18,51,25
21,550,472,65,51,232
69,581,410,63,163,29
3,349,436,6,202,10
59,559,573,57,161,114
44,515,465,67,100,14
47,554,297,139,137,114
6,905,524,71,123,161
1,250,335,54,44,2
48,295,551,123,6,27
11,728,590,24,12,26
53,716,596,21,83,204
59,416,380,63,58,42
6,668,791,10,94,30
20,643,585,69,55,54
55,450,250,94,29,37
61,789,430,26,222,59
3,504,374,89,63,64
6,560,233,65,202,62
54,673,391,14,169,58
28,522,330,11,19,16
9,505,220,120,59,49
4,738,376,126,113,7
6,554,383,102,55,160
21,601,323,93,108,61
36,888,385,16,72,55
16,399,297,13,260,101
52,515,275,16,36,10
55,300,312,164,143,31
27,748,457,88,116,46
64,614,212,39,164,17
39,622,430,43,159,54
53,750,422,45,199,94
63,1181,344,26,46,58
55,684,414,148,410,14
60,313,474,64,139,74
18,379,437,80,87,167
29,438,475,112,188,36
5,342,297,6,240,5
52,587,523,119,21,67
54,773,339,59,34,38
55,268,327,82,66,70
7,461,373,6,60,9
20,296,256,113,10,46
37,506,579,94,117,59
60,530,297,45,56,41
33,306,380,94,79,9
35,765,264,54,67,2
60,693,446,29,80,60
7,909,418,32,31,116
2,548,541,19,60,52
39,456,273,173,120,52
11,755,328,151,37,114
31,671,463,32,124,12
25,784,398,5,64,12
68,821,417,22,30,50
61,450,387,55,29,16
59,967,408,84,10,68
60,978,435,56,9,57
17,333,377,158,122,51
43,500,530,52,58,129
6,559,211,153,158,4
1,770,322,7,60,71
19,299,382,16,8,85
44,297,154,68,6,15
59,859,528,53,62,44
64,395,537,33,134,170
6,536,272,11,75,34
27,758,428,94,57,130
73,827,334,114,31,189
66,451,219,181,127,61
15,538,417,37,74,91
12,938,486,2,70,7
60,932,602,51,160,179
56,513,559,123,111,183
26,386,291,57,278,2
41,604,382,183,84,196
61,617,377,126,229,98
22,580,256,62,172,37
5,323,379,115,9,49
20,491,195,14,205,71
20,412,270,20,222,40
49,547,465,31,61,66
59,408,494,15,88,97
52,747,291,174,44,57
8,391,199,57,166,139
65,609,450,129,14,40
1,401,437,18,254,55
16,655,516,77,98,15
42,567,429,33,78,199
29,589,263,17,56,19
63,598,441,54,24,63
30,684,424,151,56,12
1,495,382,103,95,8
64,804,464,53,67,53
23,663,470,84,115,70
2,443,370,46,47,107
42,371,301,11,59,228
30,389,407,58,63,115
60,877,387,32,234,59
37,487,454,96,68,74
58,416,296,66,176,123
64,288,103,133,88,23
8,788,295,79,1,70
62,589,414,26,27,60
9,621,536,92,189,122
51,892,462,39,4,13
8,437,511,85,20,193
44,575,433,46,31,67
56,762,342,12,12,40
44,930,429,164,43,72
60,745,471,25,63,258
53,480,286,48,164,144
65,862,253,114,52,181
2,509,370,35,82,16
34,672,469,21,51,143
46,652,250,8,120,56
56,367,273,12,172,98
8,716,310,99,66,73
6,224,416,62,185,41
19,1031,292,37,105,36
32,802,332,111,123,71
13,592,129,199,91,65
4,654,291,23,40,30
28,1018,304,76,59,9
46,561,256,54,169,72
8,732,409,35,22,136
56,585,382,3,51,55
53,325,477,29,110,21
52,463,360,92,71,88
42,395,315,7,261,36
37,605,716,7,18,53
57,780,380,100,59,30
65,750,561,112,54,55
47,389,448,65,50,13
18,846,340,160,190,41
40,649,332,118,16,98
2,438,285,57,238,93
53,568,412,25,67,98
25,533,418,5,22,67
35,639,425,149,53,144
45,331,314,19,75,45
52,279,423,56,62,24
12,394,443,3,17,29
56,384,554,90,63,15
20,550,662,4,47,201
65,832,403,44,136,14
53,536,479,19,48,57
59,529,332,162,44,57
16,554,750,171,17,31
13,335,272,35,276,58
13,477,518,3,32,28
61,345,443,63,137,53
15,1052,505,40,122,19
2,716,192,85,60,11
22,714,538,64,147,18
27,961,663,12,90,34
1,705,432,1,36,62
60,554,218,27,369,48
1,434,433,78,19,57
5,760,445,51,2,52
60,418,449,63,110,50
7,1031,407,68,57,129
42,355,329,63,97,9
24,775,350,67,88,7
57,570,413,7,104,122
12,779,350,79,62,16
1,772,372,59,52,45
8,670,531,95,86,58
58,608,540,54,49,147
61,283,188,10,43,71
32,890,362,14,290,115
2,730,460,54,20,18
51,449,343,71,62,60
54,882,434,61,327,54
33,576,376,10,348,25
12,773,797,60,101,57
17,600,404,105,181,202
60,1023,201,16,12,95
27,577,343,134,57,79
59,885,377,123,123,39
58,552,446,61,68,1
5,661,292,2,121,151
30,381,409,57,33,11
25,2001,559,138,45,83
5,553,254,167,56,33
7,529,241,22,102,14
60,674,326,11,209,54
54,612,245,102,156,69
7,692,444,51,109,31
48,548,441,85,82,21
27,541,592,5,72,97
34,541,563,91,100,69
52,449,223,191,103,1
65,448,244,64,1,87
66,372,549,79,68,55
5,362,400,64,53,149
49,528,593,18,27,46
2,711,342,62,80,54
51,699,418,61,148,33
58,550,327,89,270,65
18,516,402,91,72,227
37,390,239,20,116,54
48,367,477,64,149,114
53,412,276,76,149,59
57,1035,358,56,115,11
46,606,364,94,58,87
14,605,430,18,96,246
10,872,420,59,79,110
59,460,400,56,204,104
21,557,308,31,83,58
12,554,256,104,37,99
57,418,390,58,226,88
2,1270,463,132,206,37
27,451,476,97,178,127
5,411,478,21,68,12
61,613,476,167,76,58
64,286,397,41,49,3
14,936,403,118,37,54
18,535,377,92,104,63
28,604,422,75,116,22
6,635,179,6,29,52
57,501,495,76,99,56
33,647,534,72,288,40
56,761,288,124,61,19
41,737,330,154,64,18
42,342,313,63,109,80
38,736,255,61,4,42
5,285,447,77,6,57
53,247,414,3,9,10
58,1103,305,97,57,5
56,543,471,51,484,90
53,359,457,93,131,31
17,811,357,6,73,57
22,533,237,62,22,17
9,377,359,173,142,27
6,957,492,155,194,56
52,591,356,39,178,109
30,887,388,58,136,113
47,639,333,54,84,94
57,1161,182,91,88,57
10,608,173,25,56,72
56,420,207,167,17,90
58,285,347,66,62,48
12,1036,363,29,14,117
55,602,559,10,13,73
58,568,290,114,65,14
54,818,624,14,111,6
13,415,661,114,89,3
18,305,531,161,218,71
2,492,421,3,75,74
17,497,306,27,53,155
10,782,441,26,62,99
44,259,232,165,66,60
61,796,235,40,124,9
25,594,321,42,185,60
27,422,408,30,147,63
25,314,421,54,63,52
35,547,273,37,150,36
39,356,600,59,52,43
31,394,303,64,113,4
29,531,463,62,238,18
51,750,316,58,10,12
37,639,487,16,31,11
6,392,475,49,37,159
58,415,456,7,5,25
55,719,422,160,11,125
4,397,427,62,57,67
47,321,271,55,87,33
40,597,363,101,68,22
62,710,381,10,291,108
1,660,321,31,180,28
52,549,361,46,219,70
55,309,524,17,57,65
37,645,362,54,43,35
21,520,451,94,14,1
8,703,329,58,78,142
59,776,225,14,47,63
30,201,395,74,426,63
3,482,442,167,54,53
58,628,580,37,364,12
52,1110,541,5,14,5
45,955,421,67,48,35
54,918,298,38,144,33
59,421,361,70,107,62
1,730,334,9,61,137
65,789,221,46,41,77
59,466,506,59,195,78
46,660,348,41,233,8
56,385,469,9,276,139
67,204,346,2,68,3
53,734,388,60,199,54
14,535,556,116,140,91
3,586,384,52,150,106
54,435,244,52,73,103
17,679,236,114,65,100
56,617,319,12,5,25
21,470,479,12,52,26
36,481,403,50,204,37
52,1370,310,16,15,76
33,734,701,68,154,26
2,630,283,57,104,55
60,546,423,51,37,57
23,684,204,129,86,1
9,624,206,4,57,98
60,401,303,71,5,54
52,513,332,85,59,139
50,387,555,15,6,18
42,700,316,44,135,53
21,719,337,170,8,62
70,470,405,35,98,26
26,609,653,130,2,38
27,586,311,189,87,54
32,775,198,62,255,39
1,789,478,91,53,79
56,575,366,7,71,72
61,524,376,179,17,6
12,551,409,184,220,57
44,817,254,3,65,46
33,749,278,156,33,53
59,514,424,41,3,86
20,261,448,98,185,57
55,480,570,37,62,75
21,678,258,49,2,52
38,513,564,71,79,29
37,695,405,40,23,7
27,557,181,66,22,59
52,630,309,97,76,47
53,599,697,57,310,65
7,614,370,139,19,77
14,521,350,40,41,7
55,493,391,55,52,55
5,311,298,15,28,60
60,356,320,199,7,56
54,826,381,1,111,30
11,434,401,19,271,113
53,711,385,63,59,56
15,764,289,12,54,1
5,382,331,8,56,157
30,520,476,53,102,66
65,724,156,70,105,102
6,473,357,107,43,25
34,548,454,172,72,18
55,512,388,57,43,84
53,442,181,115,57,34
10,495,271,59,163,59
62,351,345,74,28,27
52,442,269,123,158,64
43,525,310,23,55,38
38,546,407,70,30,231
60,493,289,60,362,56
4,743,308,122,51,11
39,503,431,13,4,135
50,747,413,184,165,81
13,552,361,10,78,61
59,962,379,67,34,21
4,575,456,40,86,65
13,1377,370,72,85,166
21,912,310,195,51,26
57,793,700,55,142,39
50,561,388,8,123,87
28,671,291,144,136,56
3,593,448,181,19,135
18,1015,237,17,16,58
3,1053,393,143,59,121
38,804,383,56,148,90
1,492,402,98,69,25
23,457,595,73,55,45
44,543,534,41,54,58
63,729,425,36,110,59
38,519,285,71,52,57
9,1001,277,65,59,33
35,562,217,30,110,127
29,591,299,9,170,61
59,564,599,72,21,7
5,186,302,136,58,39
59,944,509,55,3,60
60,537,265,21,200,55
39,718,446,88,82,32
26,437,406,36,371,43
7,285,608,53,71,58
60,368,460,30,27,18
2,622,643,55,52,66
52,425,326,13,112,40
54,546,364,41,51,58
11,386,513,98,801,82
12,931,621,93,58,60
53,450,551,98,3,13
51,755,332,67,17,40
24,595,364,144,73,52
61,567,285,45,57,179
22,738,411,24,38,26
56,431,417,29,67,56
34,937,198,15,57,22
62,826,349,201,54,1
52,531,344,15,63,138
57,575,157,57,89,3
16,413,187,57,218,11
20,771,424,31,250,35
44,382,340,58,160,54
2,256,393,28,95,3
60,235,342,53,5,63
64,423,450,19,68,123
18,622,614,11,63,23
1,721,308,18,128,104
35,717,606,34,55,16
9,1286,373,62,31,36
2,642,880,48,49,26
60,441,376,57,248,3
6,933,372,52,270,113
35,566,312,50,14,6
14,728,418,129,200,55
64,534,515,9,105,53
14,599,218,7,25,42
8,610,447,122,156,13
3,488,282,16,66,23
36,395,397,45,55,47
28,754,394,58,4,58
17,262,312,147,68,14
28,864,275,71,57,96
4,203,359,115,171,27
64,610,310,18,77,60
57,427,417,60,26,55
38,531,276,54,59,26
56,285,424,25,53,28
52,762,323,57,20,105
3,425,299,183,439,38
38,321,189,20,58,49
19,384,246,95,63,232
8,490,206,79,139,259
14,746,327,39,31,78
58,328,428,1,122,37
3,529,300,151,2,29
47,1202,267,12,107,92
60,599,438,83,69,49
43,859,303,33,167,54
61,540,415,14,314,56
45,321,255,54,220,62
57,361,386,69,41,308
13,429,259,31,209,53
22,600,266,21,61,32
57,461,439,97,59,159
8,284,324,69,112,34
62,364,317,1,86,10
14,514,299,87,169,4
9,266,371,55,184,122
64,241,518,149,361,63
24,616,281,46,4,29
44,683,292,54,88,28
14,636,370,33,47,57
48,569,510,65,431,96
6,443,387,169,55,100
41,500,330,59,20,1
57,551,392,54,69,58
50,473,761,114,42,8
5,583,215,59,26,10
11,807,319,11,184,56
21,464,453,87,87,58
43,637,697,166,4,29
8,410,354,81,95,53
14,501,581,110,416,88
6,389,292,104,18,40
60,1055,211,58,4,26
10,784,540,99,274,6
26,361,265,88,285,6
7,1369,355,37,39,8
29,635,292,127,214,38
4,767,378,12,77,70
56,297,386,58,87,62
10,397,352,3,229,67
46,920,457,54,309,113
31,527,158,63,119,13
28,705,609,22,117,8
16,998,415,52,53,113
36,1149,203,56,59,3
51,308,318,40,84,34
59,226,606,19,52,15
58,364,214,18,35,145
54,413,508,80,286,63
58,856,392,42,39,107
14,424,513,57,41,51
25,525,508,10,192,114
16,382,360,5,7,63
5,448,377,90,38,44
69,936,439,31,57,56
11,648,484,57,3,33
5,355,746,17,14,74
47,561,444,27,186,6
27,745,370,56,431,27
24,421,385,109,106,4
2,749,441,113,24,55
4,452,448,94,16,24
26,753,304,57,161,71
21,579,603,72,13,29
30,235,415,90,2,101
60,426,379,48,56,36
23,498,260,117,68,70
12,898,319,73,77,31
10,560,390,14,45,135
12,467,201,6,22,69
4,972,303,3,58,77
2,763,396,71,19,8
21,1064,572,74,7,56
24,811,327,155,30,53
52,640,309,100,300,53
59,681,327,60,2,24
2,551,116,9,54,57
54,328,468,60,70,141
29,787,173,63,15,70
59,290,426,52,52,110
37,485,551,36,54,28
53,656,484,43,29,18
58,503,420,4,100,110
18,757,429,18,85,17
25,660,325,12,20,85
70,597,364,11,218,60
17,1163,468,156,184,6
4,229,316,4,113,60
60,695,343,25,429,81
30,434,342,125,122,45
67,615,394,67,77,80
23,327,267,33,56,19
27,478,433,22,229,55
24,685,306,108,109,8
35,1008,647,28,59,142
20,207,433,70,39,221
54,585,427,65,133,57
55,744,195,35,83,31
32,112,301,1,69,82
37,581,656,142,445,14
6,804,212,63,37,89
60,476,497,63,113,87
47,543,184,53,18,33
62,931,429,12,248,17
41,621,397,5,154,10
21,481,463,35,56,51
40,582,195,33,10,51
54,491,393,62,36,71
56,833,396,137,228,43
58,888,426,77,113,286
64,285,309,78,98,26
38,444,463,8,134,59
60,847,441,139,136,6
47,803,486,3,142,106
40,686,306,54,112,62
21,658,242,91,5,185
8,536,328,106,110,302
52,696,490,103,18,108
55,507,602,100,310,47
22,330,293,25,162,46
59,561,465,26,201,78
47,371,201,37,218,15
39,351,282,76,41,108
39,534,410,26,157,15
2,591,416,55,23,66
34,422,329,57,14,10
24,382,448,1,203,25
59,260,513,98,88,90
26,531,506,54,109,24
62,550,295,139,8,35
46,268,443,18,57,55
54,423,327,53,55,40
60,760,211,62,139,58
61,638,306,26,92,165
35,692,251,38,33,11
29,776,520,54,11,14
19,689,226,39,28,42
47,982,359,79,61,55
53,743,552,72,33,3
5,723,274,6,218,127
40,492,255,57,197,54
51,494,454,46,178,9
25,367,730,53,214,74
9,720,331,86,58,57
4,325,446,57,160,85
20,524,449,75,40,89
57,969,256,52,52,31
58,564,565,29,73,199
1,653,727,7,147,115
5,655,213,59,208,10
31,780,663,47,34,56
56,720,564,65,118,167
47,442,262,77,59,98
40,731,570,7,52,15
61,571,272,55,271,4
6,687,339,60,227,73
56,1156,426,56,59,41
60,285,711,30,66,54
10,495,444,113,61,18
11,482,353,56,109,270
28,627,256,1,161,41
35,694,456,157,57,106
19,453,510,67,52,125
60,649,274,102,54,62
54,302,443,25,113,49
5,358,393,18,135,63
21,511,342,84,130,87
31,474,301,34,221,53
36,603,612,59,51,92
59,908,390,27,60,85
23,739,539,64,61,156
53,307,625,38,187,57
5,654,379,191,64,23
13,428,359,41,5,105
54,687,387,56,260,4
60,429,290,11,95,5
25,701,326,135,108,45
65,268,457,81,25,55
22,482,304,61,26,1
27,416,324,21,118,126
65,748,308,65,25,19
18,682,590,166,204,84
54,584,375,27,68,111
1,667,483,39,39,37
12,358,565,87,209,4
25,1110,255,56,72,58
4,822,561,135,103,32
23,975,268,58,125,48
9,224,565,121,9,54
35,786,300,90,82,60
12,563,226,25,83,33
12,713,395,45,57,109
35,693,312,58,171,19
56,364,396,59,22,12
16,889,278,57,93,57
66,537,488,33,19,119
50,829,401,127,78,33
59,735,211,61,61,3
5,555,168,7,145,57
26,799,542,39,139,51
63,241,473,60,174,5
14,639,417,55,129,74
61,348,206,32,99,22
60,459,402,43,116,200
41,800,465,58,33,53
20,435,233,18,177,57
57,988,434,66,124,58
57,566,190,40,44,104
39,257,474,58,84,11
22,595,291,82,135,7
5,525,571,60,44,155
18,416,407,13,54,35
16,1071,470,40,51,79
56,549,388,52,54,28
44,944,512,179,188,141
