gap_between_6star,LimitedBanner(6+0),SpecialBanner(6),SpecialBanner(1),LimitedBanner(1+0),StandardBanner(1+0)
12,557,313,77,65,194
22,423,247,174,151,56
59,689,598,63,132,52
31,412,493,58,18,80
55,357,361,55,167,54
24,737,488,73,57,43
62,585,313,58,1,54
15,406,513,16,75,14
24,300,472,54,272,281
60,462,446,80,16,25
62,224,429,55,120,124
28,851,543,132,74,63
54,665,428,62,35,56
27,969,605,44,6,38
64,424,311,92,393,61
39,607,456,68,114,220
17,902,451,64,55,1
42,544,246,93,50,46
38,463,295,8,21,4
35,505,419,120,18,97
27,664,286,30,35,112
11,812,342,7,114,151
61,330,522,162,298,20
55,480,492,33,196,49
58,830,228,56,216,95
13,761,407,52,31,57
28,573,249,80,70,68
40,801,349,54,31,8
8,484,583,43,139,54
35,684,425,54,141,58
8,811,655,14,60,28
58,879,452,162,82,128
51,522,472,120,65,5
66,882,489,25,43,3
4,678,239,124,137,89
6,672,291,63,313,68
32,403,309,56,71,108
11,548,310,38,10,72
18,751,495,61,132,44
47,804,275,169,107,130
28,515,619,52,134,31
17,308,424,1,60,97
51,527,349,46,70,53
2,739,517,4,127,4
19,692,372,97,150,133
7,757,185,112,152,36
33,810,436,151,232,47
70,694,314,21,205,5
9,466,481,49,118,75
60,647,449,95,38,59
6,488,367,57,11,192
55,552,676,68,232,36
42,400,237,8,185,133
30,571,564,54,53,4
8,239,395,58,108,164
61,675,536,28,10,65
43,526,489,128,35,115
8,651,338,5,8,55
39,679,184,3,56,67
4,609,509,89,2,44
66,611,303,68,246,4
56,486,462,108,58,52
39,1015,379,72,232,28
49,505,219,44,14,19
56,581,574,130,175,54
15,531,358,31,15,13
57,286,357,97,61,64
62,383,415,53,20,131
49,283,296,4,78,58
60,473,330,133,125,3
6,584,175,36,274,66
52,440,475,47,151,63
8,787,392,5,54,51
17,1063,508,75,192,64
57,401,426,59,65,26
52,565,663,192,62,11
62,459,315,37,122,20
1,740,404,133,59,66
38,591,635,4,87,54
55,300,408,164,4,71
29,356,794,66,1,144
40,717,376,115,113,36
9,487,342,55,76,73
51,455,266,67,84,6
10,588,317,44,69,52
55,317,458,4,83,102
37,271,348,52,15,203
56,645,395,28,62,53
